Year,Month,Community,Total Complaints,Total Number of Callers
2017,12,Brisbane,28.0,2894.0
2017,12,San Mateo,13.0,333.0
2017,12,Bonny Doon,2.0,24.0
2017,12,Los Altos,169.0,16843.0
2017,12,Morgan Hill,2.0,731.0
2017,12,Boulder Creek,3.0,63.0
2017,12,Felton,10.0,253.0
2017,12,Cupertino,1.0,184.0
2017,12,Foster City,7.0,260.0
2017,12,Menlo Park,22.0,1728.0
2017,12,Oakland,27.0,6015.0
2017,12,Half Moon Bay,3.0,433.0
2017,12,Hayward,1.0,2.0
2017,12,Scotts Valley,77.0,9090.0
2017,12,Alameda,1.0,2.0
2017,12,Millbrae,4.0,11.0
2017,12,Pacifica,42.0,3965.0
2017,12,South San Francisco,9.0,313.0
2017,12,Ben Lomond,2.0,37.0
2017,12,Mountain View,47.0,11065.0
2017,12,Woodside,11.0,601.0
2017,12,Watsonville,1.0,155.0
2017,12,Lafayette,1.0,110.0
2017,12,Redwood City,12.0,1593.0
2017,12,Atherton,5.0,419.0
2017,12,Carmel,2.0,73.0
2017,12,San Francisco,33.0,3044.0
2017,12,Orinda,1.0,289.0
2017,12,East Palo Alto,2.0,14.0
2017,12,Burlingame,7.0,762.0
2017,12,San Jose,1.0,5.0
2017,12,Hillsborough,1.0,1.0
2017,12,Belmont,5.0,653.0
2017,12,Sunnyvale,12.0,101.0
2017,12,Palo Alto,213.0,40859.0
2017,12,Soquel,84.0,5132.0
2017,12,Aptos,12.0,493.0
2017,12,Santa Cruz,125.0,14879.0
2017,12,Los Altos Hills,25.0,7159.0
2017,12,Portola Valley,33.0,5507.0
2017,12,Los Gatos,147.0,15703.0
2017,12,Capitola,16.0,1684.0
2017,12,Moraga,1.0,120.0
2017,12,Saratoga,9.0,853.0
2017,12,San Bruno,4.0,83.0
2017,12,Berkeley,1.0,6.0
2017,6,Brisbane,4045.0,41.0
2017,4,Berkeley,543.0,6.0
2017,8,Brisbane,2641.0,43.0
2017,5,San Bruno,69.0,4.0
2017,1,Palo Alto,50447.0,298.0
2017,9,San Leandro,7.0,2.0
2017,1,Brentwood,40.0,1.0
2017,3,Belmont,1682.0,7.0
2017,9,Menlo Park,2170.0,27.0
2017,1,Scotts Valley,8312.0,83.0
2017,8,Mill Valley,1.0,1.0
2017,11,Morgan Hill,842.0,2.0
2017,4,Pacifica,7589.0,58.0
2017,5,Capitola,2860.0,21.0
2017,7,Los Altos Hills,7857.0,40.0
2017,9,San Carlos,77.0,4.0
2017,2,Felton,257.0,9.0
2017,1,Hillsborough,125.0,20.0
2017,3,Scotts Valley,15012.0,91.0
2017,10,Lafayette,234.0,1.0
2017,1,East Palo Alto,12.0,3.0
2017,8,East Palo Alto,10.0,2.0
2017,1,Lafayette,1.0,1.0
2017,5,Monte Sereno,142.0,1.0
2017,11,Santa Clara,8.0,1.0
2017,7,San Jose,13.0,1.0
2017,9,Bonny Doon,165.0,5.0
2017,9,San Geronimo,1.0,1.0
2017,10,Ben Lomond,62.0,2.0
2017,10,Millbrae,86.0,6.0
2017,11,Daly City,1758.0,10.0
2017,7,Sunnyvale,519.0,20.0
2017,10,San Carlos,211.0,3.0
2017,1,Belvedere-Tiburon,1.0,1.0
2017,11,Saratoga,827.0,12.0
2017,3,Cupertino,1540.0,5.0
2017,4,Half Moon Bay,555.0,10.0
2017,10,San Bruno,305.0,5.0
2017,9,Martinez,1.0,1.0
2017,2,El Cerrito,1.0,1.0
2017,7,Menlo Park,2046.0,27.0
2017,11,Scotts Valley,13083.0,86.0
2017,6,Belmont,1130.0,5.0
2017,11,San Francisco,5451.0,48.0
2017,5,Los Gatos,33275.0,163.0
2017,9,Saratoga,1642.0,12.0
2017,4,Soquel,9172.0,91.0
2017,5,Saratoga,883.0,11.0
2017,11,Aptos,1342.0,17.0
2017,4,San Francisco,2494.0,50.0
2017,4,Hillsborough,4.0,2.0
2017,6,San Francisco,4108.0,48.0
2017,11,San Mateo,377.0,14.0
2017,7,Saratoga,1270.0,13.0
2017,3,Menlo Park,4831.0,41.0
2017,10,Belmont,544.0,3.0
2017,1,San Mateo,3199.0,37.0
2017,7,Santa Cruz,25395.0,139.0
2017,10,Sunnyvale,382.0,17.0
2017,1,Ben Lomond,77.0,2.0
2017,7,Watsonville,231.0,1.0
2017,10,Scotts Valley,9192.0,89.0
2017,7,Brisbane,3081.0,43.0
